PharosID	DOID
1	DOID:1790
2	DOID:5074
3	DOID:2129
4	DOID:0050902
5	DOID:3857
6	DOID:12894
7	DOID:5572
8	DOID:11383
9	MIM:249000
10	MIM:615990
11	umls:C0265215
12	umls:C0752166
13	umls:C3714506
14	DOID:3068
15	DOID:0050902
16	DOID:171
17	DOID:1324
18	DOID:0050778
19	DOID:1059
20	DOID:9970
21	DOID:1148
22	DOID:0050777
23	DOID:12712
24	DOID:0050576
25	DOID:0050779
26	
27	
28	
29	umls:C0003873
30	umls:C0004096
31	umls:C0008312
32	umls:C0018621
33	umls:C1961102
34	DOID:5517
35	DOID:3347
36	DOID:1678
37	DOID:12894
38	DOID:3905
39	DOID:0060074
40	DOID:3008
41	DOID:8577
42	DOID:8893
43	DOID:8778
44	DOID:9538
45	DOID:1040
46	DOID:9952
47	DOID:0050169
48	DOID:824
49	DOID:7575
50	DOID:3069
51	DOID:5074
52	DOID:3181
53	DOID:9351
54	DOID:5517
55	DOID:0060043
56	DOID:1561
57	DOID:1612
58	DOID:305
59	DOID:3178
60	DOID:1094
61	
62	
63	
64	
65	
66	
67	umls:C0033578
68	DOID:5074
69	DOID:6000
70	DOID:11723
71	DOID:11724
72	DOID:9883
73	DOID:14203
74	DOID:3498
75	DOID:3908
76	DOID:7851
77	DOID:7574
78	DOID:3070
79	DOID:4851
80	DOID:0050902
81	DOID:5077
82	DOID:11870
83	DOID:9119
84	DOID:2394
85	DOID:1793
86	DOID:10223
87	DOID:0050141
88	DOID:0050353
89	DOID:0050354
90	DOID:4964
91	DOID:0050352
92	DOID:0060469
93	DOID:4377
94	DOID:12683
95	DOID:3498
96	DOID:0080016
97	DOID:0060075
98	
99	MIM:615861
100	umls:C4014507
101	DOID:11664
102	DOID:4914
103	DOID:3910
104	DOID:657
105	DOID:0050909
106	DOID:1785
107	DOID:9719
108	DOID:3070
109	umls:C0011616
110	umls:C0014175
111	umls:C0151744
112	umls:C3495559
113	DOID:684
114	DOID:0050747
115	DOID:2671
116	DOID:1040
117	DOID:3069
118	DOID:11726
119	DOID:423
120	DOID:3948
121	DOID:219
122	DOID:1618
123	DOID:4905
124	DOID:9261
125	DOID:1612
126	DOID:10526
127	DOID:14250
128	DOID:0050127
129	DOID:162
130	DOID:2917
131	DOID:178
132	DOID:848
133	umls:C0021364
134	DOID:1485
135	DOID:10652
136	DOID:678
137	DOID:0060321
138	DOID:2493
139	DOID:12169
140	DOID:3459
141	umls:C0000786
142	umls:C0020507
143	umls:C0241910
144	DOID:0060013
145	DOID:1205
146	DOID:350
147	DOID:999
148	DOID:883
149	DOID:3310
150	DOID:4481
151	DOID:417
152	umls:C0010346
153	umls:C0011860
154	umls:C0018772
155	umls:C0021390
156	umls:C0032460
157	umls:C0376358
158	umls:C1384666
159	DOID:0050902
160	DOID:0050567
161	DOID:10283
162	DOID:9352
163	DOID:11613
164	DOID:11573
165	DOID:12711
166	DOID:13862
167	DOID:8913
168	DOID:752
169	DOID:2710
170	DOID:10773
171	DOID:399
172	MIM:211750
173	umls:C0796095
174	umls:C0796232
175	DOID:399
176	DOID:2340
177	DOID:3083
178	DOID:0060327
179	DOID:12798
180	DOID:0050858
181	DOID:0060471
182	DOID:1240
183	DOID:0060465
184	DOID:0050822
185	DOID:11971
186	
187	DOID:8778
188	umls:C0004238
189	umls:C0007222
190	umls:C0007786
191	umls:C0011615
192	umls:C0017661
193	umls:C0020443
194	umls:C0026769
195	umls:C0031117
196	umls:C0035126
197	umls:C0042109
198	umls:C0085580
199	umls:C0162820
200	DOID:9352
201	DOID:11934
202	DOID:1936
203	DOID:3393
204	DOID:865
205	DOID:10763
206	DOID:6713
207	DOID:2723
208	DOID:854
209	DOID:557
210	DOID:74
211	DOID:114
212	DOID:12365
213	DOID:850
214	DOID:341
215	DOID:8283
216	DOID:14221
217	DOID:5614
218	DOID:0050589
219	DOID:3146
220	umls:C0020538
221	DOID:0060305
222	
223	
224	
225	
226	
227	
228	
229	
230	
231	
232	
233	
234	
235	umls:C0236733
236	DOID:8633
237	DOID:3908
238	DOID:1459
239	DOID:0060464
240	DOID:769
241	MIM:613616
242	umls:C3150878
243	DOID:2977
244	DOID:585
245	DOID:12679
246	DOID:607
247	
248	DOID:3068
249	DOID:399
250	DOID:1596
251	DOID:0050453
252	DOID:0050633
253	DOID:0050266
254	DOID:8295
255	DOID:5502
256	DOID:0060015
257	DOID:6432
258	umls:C0002736
259	DOID:1107
260	DOID:11724
261	umls:C0030297
262	umls:C0036572
263	umls:C0038220
264	umls:C0206754
265	DOID:657
266	DOID:2449
267	DOID:3829
268	DOID:12252
269	
270	
271	
272	
273	MIM:616521
274	umls:C3875321
275	DOID:10548
276	MIM:611283
277	umls:C0038356
278	umls:C0242656
279	DOID:14723
280	DOID:14753
281	DOID:0050710
282	DOID:14701
283	DOID:14749
284	DOID:0060358
285	DOID:0060336
286	DOID:9269
287	DOID:0050289
288	DOID:13078
289	DOID:13382
290	DOID:12403
291	DOID:0050135
292	DOID:2962
293	DOID:5418
294	DOID:11914
295	umls:C2239176
296	DOID:9065
297	DOID:8457
298	DOID:5813
299	umls:C0013386
300	umls:C0014544
301	umls:C0021122
302	umls:C0026650
303	umls:C0236736
304	DOID:0050891
305	DOID:2129
306	DOID:14330
307	DOID:474
308	DOID:2560
309	DOID:9428
310	umls:C0236969
311	DOID:8869
312	MIM:605911
313	umls:C0009375
314	umls:C2751532
315	
316	MIM:261670
317	umls:C0268149
318	DOID:2747
319	DOID:0080108
320	DOID:12960
321	DOID:384
322	DOID:12858
323	umls:C0010606
324	DOID:303
325	MIM:143100
326	umls:C0006635
327	umls:C0677050
328	umls:C0751208
329	DOID:1289
330	DOID:12859
331	DOID:0060162
332	DOID:3602
333	DOID:0060161
334	DOID:1307
335	DOID:1440
336	MIM:256810
337	umls:C0009197
338	umls:C0017668
339	umls:C0033687
340	umls:C0549567
341	umls:C0751651
342	umls:C1850406
343	umls:C3151513
344	DOID:870
345	DOID:12558
346	DOID:1442
347	DOID:0060067
348	DOID:0050476
349	DOID:13580
350	
351	DOID:0014667
352	MIM:209950
353	MIM:615978
354	umls:C0019163
355	umls:C0026919
356	umls:C0079487
357	umls:C0694566
358	umls:C1112429
359	umls:C1834752
360	umls:C1838332
361	umls:C1864880
362	umls:C1969665
363	umls:C2930924
364	DOID:2476
365	DOID:1019
366	DOID:2755
367	DOID:1602
368	
369	
370	umls:C0038454
371	umls:C0162311
372	umls:C0344559
373	DOID:0050634
374	DOID:3454
375	DOID:0060252
376	DOID:12271
377	DOID:12753
378	DOID:10629
379	DOID:10376
380	DOID:1686
381	DOID:14686
382	DOID:0060282
383	DOID:560
384	DOID:83
385	DOID:11367
386	
387	
388	DOID:2679
389	DOID:5078
390	DOID:6726
391	umls:C0005695
392	DOID:10652
393	DOID:5223
394	DOID:0050831
395	DOID:0060394
396	DOID:0050534
397	DOID:9370
398	umls:C0023470
399	DOID:0060406
400	DOID:0060479
401	DOID:11665
402	DOID:3491
403	DOID:11247
404	DOID:1085
405	DOID:12930
406	umls:C0004352
407	
408	
409	
410	
411	
412	
413	DOID:5667
414	DOID:0060264
415	DOID:869
416	DOID:1849
417	DOID:11481
418	DOID:13622
419	DOID:819
420	MIM:613155
421	MIM:236670
422	MIM:609308
423	umls:C0265221
424	umls:C0457133
425	umls:C0699743
426	umls:C1836373
427	umls:C3150415
428	DOID:0050557
429	DOID:0050560
430	DOID:11724
431	DOID:9884
432	DOID:10908
433	DOID:10907
434	
435	
436	
437	DOID:11151
438	DOID:9402
439	DOID:2518
440	DOID:9682
441	umls:C0020578
442	umls:C0039231
443	DOID:1485
444	umls:C0005684
445	umls:C0007138
446	umls:C0206726
447	umls:C0334588
448	DOID:11054
449	DOID:2671
450	DOID:0050650
451	DOID:3890
452	MIM:219150
453	MIM:616603
454	MIM:601162
455	MIM:616586
456	umls:C0268350
457	umls:C0268354
458	umls:C1832669
459	DOID:3144
460	DOID:12399
461	DOID:0060237
462	DOID:1415
463	
464	
465	
466	
467	MIM:616326
468	MIM:208150
469	umls:C0004364
470	umls:C0026848
471	umls:C0595921
472	umls:C1276035
473	umls:C1837091
474	umls:C1837094
475	umls:C1854678
476	DOID:3635
477	DOID:0080110
478	DOID:0060260
479	DOID:3081
480	DOID:2750
481	DOID:0050646
482	
483	
484	MIM:613751
485	umls:C0037221
486	umls:C0266642
487	umls:C1167664
488	umls:C3178805
489	DOID:0050545
490	DOID:0050794
491	umls:C0025500
492	DOID:11044
493	umls:C1269683
494	DOID:4109
495	umls:C0029408
496	MIM:605637
497	umls:C1854106
498	DOID:539
499	DOID:9669
500	
501	DOID:4998
502	MIM:246700
503	DOID:10602
504	DOID:9726
505	DOID:3246
506	DOID:0050439
507	MIM:614066
508	umls:C0006142
509	DOID:12835
510	DOID:1969
511	umls:C0020517
512	umls:C0032285
513	DOID:10124
514	DOID:10273
515	DOID:0050475
516	DOID:1925
517	umls:C0010068
518	DOID:1287
519	DOID:0060158
520	MIM:615551
521	umls:C0002768
522	umls:C0014805
523	umls:C0018794
524	umls:C0020075
525	umls:C0020429
526	umls:C0027796
527	umls:C0042510
528	umls:C0429087
529	umls:C1142166
530	umls:C1833661
531	DOID:9240
532	DOID:0050451
533	DOID:0060145
534	DOID:0050999
535	
536	
537	
538	
539	
540	
541	
542	
543	
544	
545	
546	
547	
548	
549	
550	
551	
552	
553	
554	
555	
556	
557	
558	
559	
560	
561	
562	
563	
564	
565	
566	
567	
568	
569	
570	
571	
572	
573	
574	
575	
576	
577	
578	
579	
580	MIM:268900
581	umls:C0003130
582	DOID:1060
583	DOID:12894
584	DOID:0050573
585	DOID:1575
586	DOID:8577
587	DOID:12961
588	umls:C0021400
589	umls:C1861172
590	DOID:9074
591	MIM:602400
592	umls:C0265962
593	umls:C1835851
594	DOID:4535
595	DOID:0050474
596	DOID:0060246
597	DOID:10588
598	DOID:14261
599	DOID:13909
600	DOID:11726
601	
602	MIM:614876
603	MIM:614876
604	MIM:614877
605	umls:C0043459
606	umls:C0282525
607	umls:C0282527
608	umls:C1832200
609	umls:C3553959
610	DOID:906
611	DOID:0050444
612	DOID:10582
613	DOID:2581
614	DOID:11823
615	
616	
617	DOID:11608
618	MIM:208550
619	umls:C0021368
620	umls:C1319853
621	umls:C1858067
622	umls:C1859648
623	umls:C1876174
624	DOID:0060180
625	DOID:0060195
626	DOID:0060224
627	DOID:11724
628	DOID:4977
629	DOID:1475
630	DOID:4677
631	DOID:2725
632	DOID:4837
633	MIM:605472
634	MIM:604352
635	umls:C1858493
636	umls:C2931213
637	umls:C3148929
638	DOID:10584
639	DOID:11476
640	DOID:3571
641	DOID:0050563
642	DOID:1432
643	DOID:0110827
644	
645	DOID:1242
646	DOID:2055
647	DOID:12466
648	DOID:6692
649	DOID:0050801
650	DOID:6994
651	DOID:898
652	DOID:1680
653	MIM:267500
654	umls:C0011053
655	umls:C0085110
656	umls:C1282908
657	MIM:607091
658	umls:C1846816
659	umls:C2931009
660	DOID:5212
661	DOID:13189
662	DOID:0050486
663	DOID:0060500
664	DOID:3083
665	DOID:3112
666	umls:C0023903
667	umls:C0151786
668	DOID:10588
669	DOID:10300
670	DOID:11727
671	DOID:11976
672	DOID:12140
673	DOID:0060330
674	MIM:606056
675	umls:C1853736
676	DOID:14484
677	DOID:9505
678	MIM:121800
679	umls:C0271287
680	DOID:2566
681	DOID:1064
682	
683	umls:C0079541
684	umls:C0431362
685	umls:C0431363
686	umls:C0751617
687	umls:C1840235
688	DOID:9248
689	DOID:2512
690	DOID:0060234
691	DOID:1933
692	MIM:614052
693	umls:C0162666
694	umls:C0878544
695	umls:C3276276
696	umls:C3279699
697	DOID:3650
698	DOID:0050700
699	DOID:0080132
700	DOID:0050833
701	
702	MIM:202650
703	umls:C1876185
704	umls:C3494422
705	DOID:1926
706	MIM:182600
707	MIM:613708
708	umls:C0020071
709	umls:C3150972
710	
711	
712	MIM:236250
713	MIM:601367
714	MIM:601634
715	umls:C0002170
716	umls:C0002871
717	umls:C0002902
718	umls:C0005586
719	umls:C0007873
720	umls:C0008924
721	umls:C0009081
722	umls:C0009404
723	umls:C0011057
724	umls:C0011581
725	umls:C0011609
726	umls:C0011875
727	umls:C0014170
728	umls:C0017178
729	umls:C0018133
730	umls:C0018798
731	umls:C0018939
732	umls:C0021361
733	umls:C0022658
734	umls:C0023530
735	umls:C0023895
736	umls:C0024121
737	umls:C0024299
738	umls:C0024301
739	umls:C0024305
740	umls:C0025312
741	umls:C0027540
742	umls:C0027627
743	umls:C0027765
744	umls:C0027794
745	umls:C0027947
746	umls:C0034065
747	umls:C0037198
748	umls:C0037274
749	umls:C0037928
750	umls:C0040034
751	umls:C0040156
752	umls:C0041755
753	umls:C0042373
754	umls:C0042487
755	umls:C0162429
756	umls:C0206064
757	umls:C0206708
758	umls:C0238198
759	umls:C0270612
760	umls:C0311375
761	umls:C0333355
762	umls:C0398623
763	umls:C0524948
764	umls:C0598608
765	umls:C0852077
766	umls:C0860207
767	umls:C0920269
768	umls:C0948480
769	umls:C1271104
770	umls:C1272641
771	umls:C1458155
772	umls:C1856058
773	umls:C1856059
774	umls:C1861537
775	umls:C1866558
776	umls:C2609414
777	DOID:9263
778	DOID:9667
779	DOID:620
780	DOID:0050731
781	DOID:3756
782	DOID:3755
783	DOID:11695
784	DOID:674
785	DOID:11512
786	DOID:2988
787	DOID:0050860
788	DOID:10159
789	DOID:5113
790	
791	
792	DOID:2044
793	DOID:0080074
794	
795	
796	DOID:4248
797	umls:C0027746
798	MIM:613870
799	umls:C0019569
800	umls:C0376634
801	umls:C1145628
802	umls:C3151237
803	DOID:10487
804	
805	umls:C0030567
806	DOID:8929
807	MIM:604498
808	MIM:601977
809	MIM:254450
810	umls:C0026987
811	umls:C0032463
812	umls:C0040028
813	umls:C0836924
814	DOID:2224
815	DOID:0060083
816	DOID:2531
817	DOID:8924
818	DOID:3326
819	
820	
821	
822	
823	DOID:2224
824	DOID:11335
825	DOID:9123
826	DOID:0050696
827	DOID:11832
828	umls:C0265202
829	DOID:13636
830	DOID:0060306
831	DOID:12028
832	DOID:446
833	
834	
835	
836	DOID:7551
837	DOID:0060201
838	DOID:13800
839	DOID:0050452
840	DOID:9588
841	DOID:4267
842	DOID:649
843	DOID:0060223
844	DOID:8986
845	DOID:3522
846	MIM:187950
847	DOID:11786
848	DOID:6376
849	DOID:409
850	DOID:10762
851	DOID:14699
852	DOID:1883
853	DOID:0060007
854	DOID:6132
855	umls:C0023493
856	DOID:7
857	umls:C0019693
858	umls:C0279626
859	MIM:240600
860	umls:C1855861
861	DOID:9993
862	DOID:2998
863	MIM:614171
864	DOID:3753
865	DOID:2223
866	DOID:0050632
867	DOID:12971
868	DOID:12010
869	DOID:2935
870	umls:C0024667
871	umls:C0024668
872	DOID:1875
873	DOID:4947
874	DOID:7457
875	DOID:3121
876	DOID:9091
877	DOID:11727
878	DOID:10183
879	DOID:10609
880	DOID:0050336
881	DOID:10573
882	DOID:13543
883	DOID:0050459
884	DOID:14693
885	DOID:0060473
886	
887	MIM:613750
888	MIM:162080
889	umls:C0028077
890	umls:C0035304
891	umls:C1834330
892	DOID:0060532
893	DOID:14791
894	DOID:0050572
895	
896	DOID:767
897	MIM:250100
898	MIM:272200
899	umls:C0023522
900	umls:C0751276
901	umls:C0751278
902	umls:C0751279
903	DOID:10579
904	DOID:10581
905	DOID:0050441
906	DOID:10587
907	DOID:0080070
908	DOID:2368
909	DOID:1926
910	DOID:0050824
911	
912	
913	DOID:5520
914	DOID:1749
915	umls:C1527249
916	MIM:605389
917	umls:C1854310
918	DOID:11561
919	DOID:14219
920	DOID:4479
921	DOID:327
922	DOID:14711
923	DOID:1080
924	MIM:614741
925	DOID:0070004
926	MIM:604400
927	MIM:614302
928	umls:C0085298
929	umls:C0349788
930	umls:C0410190
931	umls:C1858379
932	DOID:0050431
933	
934	DOID:3389
935	umls:C0027092
936	umls:C0034951
937	MIM:615637
938	umls:C0043094
939	DOID:583
940	DOID:10241
941	DOID:7147
942	MIM:614231
943	DOID:2848
944	
945	MIM:604379
946	MIM:604379
947	umls:C0343073
948	umls:C0345427
949	umls:C1836672
950	umls:C3148823
951	DOID:0060283
952	DOID:0050472
953	DOID:3488
954	DOID:1702
955	
956	DOID:5522
957	DOID:4437
958	DOID:12328
959	DOID:11206
960	DOID:13579
961	MIM:300215
962	MIM:308350
963	MIM:309510
964	MIM:300419
965	MIM:300004
966	umls:C0037769
967	umls:C0393706
968	umls:C0796124
969	umls:C0796244
970	umls:C0796250
971	umls:C1846171
972	DOID:0050709
973	DOID:543
974	
975	
976	MIM:600138
977	DOID:10688
978	DOID:0050445
979	DOID:1926
980	DOID:1909
981	DOID:11983
982	DOID:6498
983	MIM:603147
984	umls:C2930997
985	DOID:10611
986	
987	DOID:1932
988	DOID:8568
989	MIM:610799
990	MIM:607676
991	umls:C0752308
992	umls:C1835828
993	DOID:9471
994	DOID:5810
995	DOID:3261
996	
997	MIM:614202
998	MIM:252010
999	umls:C2936907
1000	DOID:0050515
1001	
1002	
1003	
1004	umls:C3150943
1005	DOID:0060241
1006	DOID:2843
1007	umls:C0024143
1008	MIM:611820
1009	umls:C0035828
1010	
1011	MIM:606856
1012	umls:C0027672
1013	umls:C1847351
1014	umls:C2931038
1015	DOID:3082
1016	DOID:0080091
1017	DOID:10041
1018	MIM:231090
1019	umls:C0020217
1020	umls:C0334529
1021	umls:C0678213
1022	umls:C2931618
1023	DOID:3590
1024	DOID:0060334
1025	DOID:1803
1026	DOID:13034
1027	DOID:3055
1028	DOID:8927
1029	DOID:0050581
1030	MIM:616354
1031	umls:C0007758
1032	DOID:1441
1033	DOID:0060356
1034	
1035	DOID:9828
1036	DOID:3209
1037	DOID:1166
1038	DOID:11266
1039	DOID:14227
1040	DOID:8634
1041	MIM:600316
1042	umls:C1838263
1043	DOID:8838
1044	DOID:10003
1045	umls:C0024115
1046	DOID:9206
1047	DOID:2548
1048	DOID:4890
1049	umls:C0014859
1050	umls:C0027439
1051	DOID:452
1052	MIM:607596
1053	umls:C1843504
1054	DOID:3298
1055	DOID:231
1056	umls:C0041207
1057	DOID:778
1058	DOID:11328
1059	umls:C0023893
1060	umls:C1862939
1061	DOID:1612
1062	DOID:9487
1063	DOID:0050578
1064	DOID:2846
1065	umls:C0022665
1066	DOID:3083
1067	umls:C1504404
1068	DOID:9246
1069	MIM:615085
1070	umls:C1318518
1071	DOID:13533
1072	
1073	DOID:3315
1074	DOID:2602
1075	DOID:10348
1076	DOID:13336
1077	DOID:6419
1078	DOID:10881
1079	umls:C0011854
1080	umls:C0002896
1081	umls:C0017185
1082	umls:C0018801
1083	umls:C0026636
1084	umls:C0149721
1085	DOID:10087
1086	MIM:614256
1087	MIM:615539
1088	DOID:13359
1089	DOID:11782
1090	DOID:12273
1091	DOID:9834
1092	
1093	
1094	DOID:10690
1095	DOID:2945
1096	MIM:268100
1097	MIM:611131
1098	umls:C0339541
1099	umls:C1970163
1100	umls:C3810055
1101	DOID:12705
1102	DOID:5154
1103	MIM:245200
1104	umls:C0023521
1105	umls:C0268252
1106	umls:C0751273
1107	DOID:12842
1108	DOID:936
1109	
1110	MIM:309300
1111	umls:C0344530
1112	DOID:1237
1113	DOID:13724
1114	
1115	MIM:252920
1116	MIM:616491
1117	umls:C0026706
1118	umls:C0086648
1119	DOID:10595
1120	DOID:2510
1121	DOID:14500
1122	
1123	
1124	DOID:12987
1125	MIM:616732
1126	DOID:9997
1127	MIM:615897
1128	DOID:10127
1129	MIM:187300
1130	umls:C0039445
1131	umls:C0345893
1132	DOID:10591
1133	DOID:1272
1134	DOID:11294
1135	DOID:2494
1136	DOID:8398
1137	
1138	MIM:137750
1139	MIM:231300
1140	DOID:0050593
1141	
1142	
1143	DOID:10459
1144	MIM:609033
1145	
1146	DOID:0050785
1147	DOID:12337
1148	DOID:0060483
1149	DOID:11836
1150	MIM:166300
1151	umls:C2674705
1152	DOID:3733
1153	DOID:7442
1154	DOID:3355
1155	DOID:2658
1156	
1157	DOID:12557
1158	
1159	DOID:9455
1160	DOID:9976
1161	DOID:7400
1162	
1163	
1164	DOID:0050591
1165	MIM:258315
1166	umls:C0158266
1167	umls:C0206762
1168	umls:C1842981
1169	umls:C1850318
1170	DOID:0060288
1171	DOID:0060248
1172	DOID:14687
1173	DOID:0050648
1174	DOID:0060163
1175	MIM:614595
1176	umls:C3281288
1177	DOID:3908
1178	MIM:614078
1179	umls:C1844887
1180	DOID:0060462
1181	MIM:613099
1182	umls:C0007117
1183	umls:C0016689
1184	umls:C0033680
1185	umls:C0038814
1186	umls:C0042900
1187	umls:C0268495
1188	umls:C0699893
1189	umls:C1318558
1190	umls:C1835047
1191	umls:C1842036
1192	umls:C2678403
1193	umls:C2751295
1194	umls:C2751296
1195	DOID:4159
1196	DOID:11213
1197	DOID:1752
1198	DOID:13270
1199	
1200	
1201	
1202	DOID:6846
1203	MIM:615942
1204	DOID:0050143
1205	DOID:3301
1206	DOID:1924
1207	DOID:4441
1208	DOID:0080073
1209	DOID:10892
1210	DOID:13938
1211	DOID:2297
1212	DOID:9946
1213	DOID:0060175
1214	DOID:845
1215	DOID:0050741
1216	DOID:0050148
1217	DOID:479
1218	DOID:10970
1219	DOID:3891
1220	DOID:8689
1221	MIM:273300
1222	MIM:154230
1223	umls:C0027658
1224	umls:C0039590
1225	umls:C0153594
1226	umls:C0855197
1227	umls:C2936694
1228	DOID:14448
1229	DOID:2994
1230	DOID:3763
1231	DOID:2219
1232	DOID:2217
1233	umls:C0027643
1234	umls:C0567312
1235	DOID:8432
1236	DOID:809
1237	DOID:13431
1238	DOID:10371
1239	umls:C0677886
1240	umls:C0919267
1241	umls:C1140680
1242	DOID:9562
1243	MIM:202200
1244	DOID:0050602
1245	DOID:0050811
1246	DOID:9164
1247	DOID:656
1248	DOID:1786
1249	
1250	
1251	
1252	
1253	
1254	
1255	DOID:9245
1256	DOID:4465
1257	umls:C0007134
1258	DOID:216
1259	DOID:13711
1260	DOID:12347
1261	DOID:1920
1262	DOID:0060060
1263	DOID:1928
1264	umls:C0011853
1265	DOID:698
1266	DOID:13096
1267	DOID:2841
1268	DOID:4337
1269	umls:C0023467
1270	DOID:11875
1271	DOID:14087
1272	DOID:14181
1273	
1274	umls:C0455806
1275	DOID:0060387
1276	DOID:1882
1277	MIM:601780
1278	MIM:204300
1279	umls:C0022797
1280	umls:C0026613
1281	umls:C0027877
1282	umls:C0042790
1283	umls:C0333641
1284	umls:C0751778
1285	umls:C1262477
1286	DOID:14503
1287	DOID:1393
1288	
1289	
1290	DOID:635
1291	DOID:9255
1292	DOID:5325
1293	DOID:643
1294	
1295	DOID:1664
1296	DOID:3869
1297	DOID:171
1298	DOID:13576
1299	DOID:2321
1300	DOID:9778
1301	DOID:13113
1302	DOID:11265
1303	DOID:8442
1304	DOID:11949
1305	DOID:8771
1306	DOID:10841
1307	DOID:594
1308	DOID:0050214
1309	umls:C1720824
1310	
1311	MIM:606854
1312	MIM:615752
1313	DOID:12177
1314	DOID:9744
